Delta, Rate, Expect, Margin
Stock SH600000
1, 46.74%, 101.45%, 1.45%
2, 47.94%, 102.12%, 1.06%
3, 48.06%, 102.62%, 0.87%
4, 48.06%, 103.05%, 0.76%
5, 47.48%, 103.44%, 0.69%
6, 47.85%, 103.68%, 0.61%
7, 47.32%, 103.92%, 0.56%
8, 47.03%, 104.15%, 0.52%
9, 46.25%, 104.48%, 0.50%
10, 45.96%, 104.76%, 0.48%
11, 44.82%, 105.13%, 0.47%
12, 44.59%, 105.38%, 0.45%
13, 44.72%, 105.51%, 0.42%
14, 45.05%, 105.60%, 0.40%
15, 45.21%, 105.73%, 0.38%
16, 45.09%, 105.85%, 0.37%
17, 45.42%, 105.96%, 0.35%
18, 45.50%, 106.16%, 0.34%
19, 44.88%, 106.39%, 0.34%
20, 44.59%, 106.60%, 0.33%
21, 44.11%, 106.94%, 0.33%
22, 44.01%, 107.22%, 0.33%
23, 44.03%, 107.51%, 0.33%
24, 43.38%, 107.89%, 0.33%
25, 43.98%, 108.07%, 0.32%
26, 44.12%, 108.31%, 0.32%
27, 44.31%, 108.45%, 0.31%
28, 43.95%, 108.58%, 0.31%
29, 44.01%, 108.71%, 0.30%
Stock SH600001
1, 46.23%, 101.56%, 1.56%
2, 48.56%, 102.28%, 1.14%
3, 47.75%, 102.81%, 0.94%
4, 48.64%, 103.14%, 0.78%
5, 48.39%, 103.46%, 0.69%
6, 48.07%, 103.78%, 0.63%
7, 47.35%, 104.06%, 0.58%
8, 46.31%, 104.36%, 0.55%
9, 45.83%, 104.63%, 0.51%
10, 44.86%, 104.91%, 0.49%
11, 43.90%, 105.15%, 0.47%
12, 43.05%, 105.42%, 0.45%
13, 42.89%, 105.74%, 0.44%
14, 43.45%, 105.99%, 0.43%
15, 44.10%, 106.34%, 0.42%
16, 44.18%, 106.66%, 0.42%
17, 43.86%, 107.06%, 0.42%
18, 43.21%, 107.55%, 0.42%
19, 42.97%, 107.96%, 0.42%
20, 42.68%, 108.35%, 0.42%
21, 42.28%, 108.74%, 0.42%
22, 42.12%, 109.10%, 0.41%
23, 42.20%, 109.33%, 0.41%
24, 42.52%, 109.54%, 0.40%
25, 42.77%, 109.79%, 0.39%
26, 42.44%, 110.13%, 0.39%
27, 42.20%, 110.36%, 0.38%
28, 42.36%, 110.59%, 0.38%
29, 42.44%, 111.00%, 0.38%
Stock SH600002
1, 44.60%, 101.52%, 1.52%
2, 45.31%, 102.28%, 1.14%
3, 45.42%, 102.87%, 0.96%
4, 45.77%, 103.42%, 0.85%
5, 46.01%, 103.75%, 0.75%
6, 46.36%, 104.08%, 0.68%
7, 48.24%, 104.16%, 0.59%
8, 46.48%, 104.54%, 0.57%
9, 45.07%, 104.88%, 0.54%
10, 44.48%, 105.09%, 0.51%
11, 43.48%, 105.38%, 0.49%
12, 42.82%, 105.74%, 0.48%
13, 41.81%, 106.28%, 0.48%
14, 42.69%, 106.60%, 0.47%
15, 42.81%, 106.95%, 0.46%
16, 43.40%, 107.25%, 0.45%
17, 43.99%, 107.66%, 0.45%
18, 44.22%, 108.06%, 0.45%
19, 44.81%, 108.41%, 0.44%
20, 44.69%, 108.79%, 0.44%
21, 44.69%, 109.03%, 0.43%
22, 44.10%, 109.35%, 0.42%
23, 43.63%, 109.61%, 0.42%
24, 43.28%, 109.89%, 0.41%
25, 43.40%, 109.92%, 0.40%
26, 43.04%, 110.21%, 0.39%
27, 42.10%, 110.65%, 0.39%
28, 41.98%, 110.89%, 0.39%
29, 42.69%, 111.08%, 0.38%
Stock SH600003
1, 47.38%, 101.55%, 1.55%
2, 45.95%, 102.37%, 1.19%
3, 46.23%, 102.88%, 0.96%
4, 47.47%, 103.28%, 0.82%
5, 47.47%, 103.58%, 0.72%
6, 45.95%, 103.89%, 0.65%
7, 43.85%, 104.11%, 0.59%
8, 41.18%, 104.47%, 0.56%
9, 40.71%, 104.59%, 0.51%
10, 39.08%, 104.90%, 0.49%
11, 39.56%, 105.15%, 0.47%
12, 38.89%, 105.54%, 0.46%
13, 38.99%, 105.78%, 0.44%
14, 38.42%, 106.09%, 0.44%
15, 38.51%, 106.36%, 0.42%
16, 39.28%, 106.62%, 0.41%
17, 38.89%, 107.01%, 0.41%
18, 38.80%, 107.35%, 0.41%
19, 39.37%, 107.53%, 0.40%
20, 38.89%, 107.92%, 0.40%
21, 39.56%, 108.12%, 0.39%
22, 39.56%, 108.43%, 0.38%
23, 39.66%, 108.87%, 0.39%
24, 39.37%, 109.37%, 0.39%
25, 39.66%, 109.64%, 0.39%
26, 38.99%, 110.19%, 0.39%
27, 38.99%, 110.55%, 0.39%
28, 38.89%, 110.87%, 0.39%
29, 39.85%, 110.82%, 0.37%
Stock SH600004
1, 49.40%, 101.55%, 1.55%
2, 49.15%, 102.32%, 1.16%
3, 51.31%, 102.74%, 0.91%
4, 50.93%, 103.22%, 0.81%
5, 52.46%, 103.49%, 0.70%
6, 52.84%, 103.75%, 0.63%
7, 52.40%, 104.02%, 0.57%
8, 52.19%, 104.27%, 0.53%
9, 52.51%, 104.46%, 0.50%
10, 52.08%, 104.76%, 0.48%
11, 52.16%, 104.96%, 0.45%
12, 50.93%, 105.32%, 0.44%
13, 50.90%, 105.63%, 0.43%
14, 49.67%, 106.00%, 0.43%
15, 49.92%, 106.18%, 0.41%
16, 51.04%, 106.18%, 0.39%
17, 49.37%, 106.52%, 0.38%
18, 49.18%, 106.72%, 0.37%
19, 49.20%, 106.96%, 0.37%
20, 50.05%, 107.11%, 0.36%
21, 50.19%, 107.34%, 0.35%
22, 50.08%, 107.50%, 0.34%
23, 50.03%, 107.76%, 0.34%
24, 49.81%, 108.03%, 0.33%
25, 49.97%, 108.16%, 0.33%
26, 49.81%, 108.35%, 0.32%
27, 50.14%, 108.49%, 0.31%
28, 50.96%, 108.57%, 0.31%
29, 51.02%, 108.80%, 0.30%
Stock SH600005
1, 44.46%, 101.84%, 1.84%
2, 46.17%, 102.69%, 1.34%
3, 47.38%, 103.24%, 1.08%
4, 48.04%, 103.74%, 0.93%
5, 48.26%, 104.17%, 0.83%
6, 47.66%, 104.61%, 0.77%
7, 47.77%, 105.00%, 0.71%
8, 47.11%, 105.48%, 0.68%
9, 47.60%, 105.76%, 0.64%
10, 46.61%, 106.21%, 0.62%
11, 44.90%, 106.80%, 0.62%
12, 45.01%, 106.99%, 0.58%
13, 44.30%, 107.33%, 0.56%
14, 44.35%, 107.64%, 0.55%
15, 44.52%, 107.94%, 0.53%
16, 44.38%, 108.33%, 0.52%
17, 44.07%, 108.76%, 0.52%
18, 43.87%, 109.14%, 0.51%
19, 43.29%, 109.69%, 0.51%
20, 43.59%, 110.04%, 0.50%
21, 43.17%, 110.42%, 0.50%
22, 43.09%, 110.67%, 0.49%
23, 42.67%, 111.05%, 0.48%
24, 42.75%, 111.38%, 0.47%
25, 42.41%, 111.66%, 0.47%
26, 41.81%, 112.05%, 0.46%
27, 41.53%, 112.39%, 0.46%
28, 41.64%, 112.58%, 0.45%
29, 41.53%, 112.87%, 0.44%
Stock SH600006
1, 47.75%, 101.61%, 1.61%
2, 46.64%, 102.51%, 1.25%
3, 46.95%, 103.08%, 1.03%
4, 46.51%, 103.62%, 0.90%
5, 47.24%, 104.06%, 0.81%
6, 46.42%, 104.50%, 0.75%
7, 46.36%, 104.82%, 0.69%
8, 45.66%, 105.17%, 0.65%
9, 45.11%, 105.54%, 0.62%
10, 45.58%, 105.82%, 0.58%
11, 45.28%, 106.14%, 0.56%
12, 45.03%, 106.43%, 0.54%
13, 44.82%, 106.70%, 0.52%
14, 44.44%, 107.06%, 0.50%
15, 44.95%, 107.26%, 0.48%
16, 44.40%, 107.62%, 0.48%
17, 44.23%, 107.92%, 0.47%
18, 44.52%, 108.19%, 0.45%
19, 45.75%, 108.26%, 0.43%
20, 45.45%, 108.68%, 0.43%
21, 45.85%, 108.96%, 0.43%
22, 46.29%, 109.16%, 0.42%
23, 46.23%, 109.47%, 0.41%
24, 46.71%, 109.61%, 0.40%
25, 46.31%, 109.98%, 0.40%
26, 46.52%, 110.21%, 0.39%
27, 45.76%, 110.53%, 0.39%
28, 45.38%, 110.76%, 0.38%
29, 45.12%, 110.95%, 0.38%
Stock SH600007
1, 49.85%, 101.67%, 1.67%
2, 50.95%, 102.49%, 1.25%
3, 50.69%, 103.06%, 1.02%
4, 49.77%, 103.60%, 0.90%
5, 49.52%, 104.06%, 0.81%
6, 48.25%, 104.48%, 0.75%
7, 48.59%, 104.74%, 0.68%
8, 48.84%, 105.03%, 0.63%
9, 48.42%, 105.42%, 0.60%
10, 48.91%, 105.71%, 0.57%
11, 49.31%, 105.96%, 0.54%
12, 49.28%, 106.32%, 0.53%
13, 49.18%, 106.63%, 0.51%
14, 49.58%, 106.89%, 0.49%
15, 50.08%, 107.18%, 0.48%
16, 51.01%, 107.36%, 0.46%
17, 50.51%, 107.73%, 0.45%
18, 50.76%, 107.95%, 0.44%
19, 51.60%, 108.09%, 0.43%
20, 51.58%, 108.38%, 0.42%
21, 52.03%, 108.60%, 0.41%
22, 52.49%, 108.82%, 0.40%
23, 52.28%, 109.10%, 0.40%
24, 51.90%, 109.42%, 0.39%
25, 51.77%, 109.78%, 0.39%
26, 51.35%, 110.22%, 0.39%
27, 51.22%, 110.48%, 0.39%
28, 51.65%, 110.62%, 0.38%
29, 51.14%, 110.94%, 0.38%
Stock SH600008
1, 47.73%, 101.72%, 1.72%
2, 48.22%, 102.66%, 1.33%
3, 49.67%, 103.28%, 1.09%
4, 49.32%, 103.95%, 0.99%
5, 48.66%, 104.49%, 0.90%
6, 48.22%, 104.93%, 0.82%
7, 47.29%, 105.46%, 0.78%
8, 47.51%, 105.82%, 0.73%
9, 46.94%, 106.26%, 0.70%
10, 46.28%, 106.72%, 0.67%
11, 46.01%, 107.11%, 0.65%
12, 46.85%, 107.30%, 0.61%
13, 46.41%, 107.70%, 0.59%
14, 46.90%, 107.98%, 0.57%
15, 47.20%, 108.35%, 0.56%
16, 47.56%, 108.62%, 0.54%
17, 47.82%, 108.85%, 0.52%
18, 48.04%, 109.13%, 0.51%
19, 48.30%, 109.29%, 0.49%
20, 47.38%, 109.73%, 0.49%
21, 47.16%, 110.05%, 0.48%
22, 46.90%, 110.38%, 0.47%
23, 46.98%, 110.66%, 0.46%
24, 47.31%, 110.86%, 0.45%
25, 48.13%, 110.96%, 0.44%
26, 48.19%, 111.24%, 0.43%
27, 48.02%, 111.52%, 0.43%
28, 47.97%, 111.74%, 0.42%
29, 48.10%, 111.94%, 0.41%
Stock SH600009
1, 48.50%, 101.51%, 1.51%
2, 50.04%, 102.20%, 1.10%
3, 50.52%, 102.68%, 0.89%
4, 51.34%, 103.04%, 0.76%
5, 51.50%, 103.38%, 0.68%
6, 51.63%, 103.69%, 0.62%
7, 51.55%, 104.06%, 0.58%
8, 52.16%, 104.34%, 0.54%
